smartsolo,smartsolo_lat,smartsolo_lon,sapphire,sapphire_lat,sapphire_lon,sapphire_dist_m,das_channel,das_lat,das_lon,das_dist_m
24377,60.73529333333333,11.544864916666667,SM462,60.73529333333333,11.544864916666667,0.0,939,60.73527457394158,11.544855171398424,2.1568175472848194
24397,60.73241441666667,11.542056416666666,SM206,60.73241441666667,11.542056416666666,0.0,1825,60.73243777273821,11.542097081983957,3.4198970060902023
24413,60.73175877777778,11.562078333333334,SM224,60.73175877777778,11.562078333333334,0.0,1220,60.7317862819732,11.562062347030198,3.18636001448163
24447,60.740129277777775,11.527851805555557,SM310,60.740243444444445,11.527599083333333,18.75818204929777,3832,60.74011478410848,11.527860051072402,1.6764193139414392
24450,60.742523416666664,11.525443166666667,SM415,60.742523416666664,11.525443166666667,0.0,3911,60.74250867244977,11.525412976221677,2.3261044663699684
24481,60.725847083333335,11.542975027777779,SM479,60.725847083333335,11.542975027777779,0.0,2020,60.725870364775496,11.542915867921893,4.141611780089235
24492,60.72158827777778,11.53879925,SM400,60.72158827777778,11.53879925,0.0,2156,60.72161029941441,11.5388013914843,2.456531264610626
24525,60.73522127777778,11.548111777777777,SM442,60.73522127777778,11.548111777777777,0.0,985,60.735214272081116,11.548118355375262,0.8591424079388508
24534,60.73693061111111,11.53256413888889,SM424,60.73693061111111,11.53256413888889,0.0,3717,60.736943064562894,11.53259022154223,1.9875120407348776
24551,60.73541841666667,11.537132083333333,SM425,60.73550102777778,11.536985583333333,12.190646378174938,3640,60.73543954721093,11.537159787198638,2.7978466725225535
24554,60.734932694444446,11.551002972222223,SM471,60.734932694444446,11.551002972222223,0.0,1027,60.73497334778845,11.551040410394686,4.9689976563247615
24555,60.73522386111111,11.54212925,SM218,60.73511355555556,11.541248666666666,49.58957096664166,901,60.73519376753924,11.542161169469649,3.7784045446198875
24560,60.73716891666667,11.540272055555555,SM311,60.73716891666667,11.540272055555555,0.0,86,60.73717370259867,11.540298459838244,1.5360006584634547
24613,60.73590316666667,11.539762805555556,SM384,60.736312166666664,11.54006275,48.42150368950212,47,60.735907733478285,11.53983030529582,3.717514122581066
24767,60.72220402777778,11.539711666666667,SM456,60.72220402777778,11.539711666666667,0.0,2134,60.722207766323876,11.53973235982575,1.2037917110160434
24788,60.73794547222222,11.530565972222224,SM321,60.73794547222222,11.530565972222224,0.0,3757,60.737933337278605,11.530554542252847,1.4889793479836941
24806,60.73370497222222,11.540976361111111,SM488,60.73370497222222,11.540976361111111,0.0,1785,60.73371192589185,11.541005262218912,1.7569161936749418
24822,60.73862027777778,11.541082083333333,SM357,60.73862027777778,11.541082083333333,0.0,130,60.73862417529905,11.541091687497117,0.6805095006150682
24840,60.74286852777778,11.547314138888888,SM312,60.74286852777778,11.547314138888888,0.0,286,60.742838588221964,11.547324257528828,3.381356113331049
24888,60.74370319444444,11.524749361111112,SM211,60.74370319444444,11.524749361111112,0.0,3947,60.74370345481922,11.524711435516046,2.068774603240614
24920,60.73422925,11.553157361111111,SM221,60.73422925,11.553157361111111,0.0,1068,60.7342236170125,11.5532010187433,2.4632230796342944
25176,60.73341033333333,11.555445500000001,SM468,60.73341033333333,11.555445500000001,0.0,1109,60.733378631980045,11.555433528036993,3.592199171195395
25206,60.74482813888889,11.554184444444445,SM385,60.74482813888889,11.554184444444445,0.0,403,60.74480172511371,11.554208176754823,3.2152086882936954
25225,60.73061516666667,11.52216475,SM330,60.73061516666667,11.52216475,0.0,2954,60.730586922588984,11.522187221454066,3.377515119537208
25228,60.744398805555555,11.551786388888889,SM387,60.744398805555555,11.551786388888889,0.0,365,60.74437428510962,11.5517981557821,2.806552156465882
25245,60.73981422222222,11.541767083333333,SM356,60.73981422222222,11.541767083333333,0.0,166,60.73980831188758,11.541834277273965,3.724086009449886
25248,60.74375927777778,11.549403027777778,SM355,60.74375927777778,11.549403027777778,0.0,326,60.743740873074564,11.549417971564292,2.2067821320205514
25303,60.730687861111115,11.51812563888889,SM342,60.730687861111115,11.51812563888889,0.0,3013,60.73065745841494,11.518091863025468,3.8564836511647194
25305,60.73284402777778,11.531692111111113,SM348,60.73284402777778,11.531692111111113,0.0,2778,60.73282127636992,11.53172946662615,3.2527972413242363
25337,60.74119402777778,11.526271833333334,SM407,60.74119402777778,11.526271833333334,0.0,3870,60.74118318318992,11.526261214131734,1.3400191383875228
25344,60.727089972222224,11.543368055555556,SM485,60.727089972222224,11.543368055555556,0.0,1985,60.727086216037705,11.543315572083076,2.894497814563123
25348,60.738906,11.52880738888889,SM318,60.738906,11.52880738888889,0.0,3794,60.73891841711061,11.528861430306497,3.256541262979748
25394,60.73350691666667,11.53297052777778,SM359,60.73350691666667,11.53297052777778,0.0,2748,60.7334774156067,11.532935284554524,3.8082520750013824
25397,60.73177252777778,11.531099277777779,SM329,60.73193375,11.531186333333334,18.581508648919414,2810,60.73176288855316,11.531157667509277,3.3620982221325306
25444,60.73123841666667,11.525251583333334,SM371,60.73123841666667,11.525251583333334,0.0,2905,60.73118053894686,11.525275901998052,6.584099951824183
