sensor,lat,lon,elev
358,"N 60 43' 51.8439""","E 11 31' 41.3090""",316.202
346,"N 60 43' 52.1392""","E 11 31' 38.4530""",319.767
4120,"N 60 43' 52.1392""","E 11 31' 38.4530""",319.767
328,"N 60 43' 52.4519""","E 11 31' 35.5219""",320.263
334,"N 60 43' 52.3354""","E 11 31' 32.3462""",316.965
371,"N 60 43' 52.4583""","E 11 31' 30.9057""",314.927
5444,"N 60 43' 52.4583""","E 11 31' 30.9057""",314.927
333,"N 60 43' 52.5446""","E 11 31' 29.4904""",320.741
340,"N 60 43' 51.9910""","E 11 31' 25.6027""",319.919
343,"N 60 43' 50.9371""","E 11 31' 22.1945""",326.227
330,"N 60 43' 50.2146""","E 11 31' 19.7931""",330.242
5225,"N 60 43' 50.2146""","E 11 31' 19.7931""",330.242
331,"N 60 43' 50.1726""","E 11 31' 16.2611""",332.028
350,"N 60 43' 50.1017""","E 11 31' 13.1825""",333.204
344,"N 60 43' 50.3265""","E 11 31' 8.2149""",339.028
342,"N 60 43' 50.4763""","E 11 31' 5.2523""",337.296
5303,"N 60 43' 50.4763""","E 11 31' 5.2523""",327.296
337,"N 60 43' 50.7500""","E 11 31' 1.3555""",337.814
373,"N 60 43' 51.1574""","E 11 30' 57.2807""",338.784
341,"N 60 43' 51.5264""","E 11 30' 53.5946""",337.573
335,"N 60 43' 51.7815""","E 11 30' 50.7783""",336.377
338,"N 60 43' 52.3972""","E 11 30' 47.7126""",334.632
370,"N 60 43' 57.9076""","E 11 32' 5.3562""",302.272
3976,"N 60 43' 57.9076""","E 11 32' 5.3562""",302.272
325,"N 60 44' 6.0604""","E 11 32' 20.4874""",297.547
434,"N 60 44' 6.6800""","E 11 32' 18.0859""",297.518
324,"N 60 44' 7.2177""","E 11 32' 15.5600""",297.342
4551,"N 60 44' 7.5063""","E 11 32' 13.6755""",299.311
425,"N 60 44' 7.8037""","E 11 32' 13.1481""",295.707
307,"N 60 44' 8.5528""","E 11 32' 10.6197""",293.145
